Symbol,Name,ISIN,Exchange
535958.BO,Integra Essentia Ltd,INE418N01035,BSE
536264.BO,Tiger Logistics (India) Ltd,INE906O01029,BSE
536960.BO,Motilal Oswal Nifty Midcap 100 ETF,INF247L01023,BSE
537007.BO,ICICI Prudential Nifty 50 ETF,INF109K012R6,BSE
537008.BO,ICICI Prudential Nifty 100 ETF,INF109KC16V9,BSE
537483.BO,NIPPON INDIA ETF NIFTY 100,INF204K014N5,BSE
537708.BO,Kotak Nifty 50 ETF,INF174K014P6,BSE
537785.BO,Race Eco Chain Ltd,INE084Q01012,BSE
537820.BO,Viji Finance Ltd,INE159N01027,BSE
538057.BO,CPSE ETF,INF457M01133,BSE
538546.BO,Bansal Roofing Products Ltd,INE319Q01012,BSE
538598.BO,Vishal Fabrics Ltd,INE755Q01025,BSE
538668.BO,Meghna Infracon Infrastructure Ltd,INE898Q01015,BSE
538683.BO,Nippon India ETF S&P BSE Sensex,INF204KA1UN7,BSE
538716.BO,Aryaman Capital Markets Ltd,INE229R01011,BSE
538817.BO,Captain Pipes Ltd,INE513R01026,BSE
538896.BO,Kanchi Karpooram Ltd,INE081G01019,BSE
539031.BO,SBI Mutual Fund - SBI - ETF BSE 100,INF200KA1572,BSE
539044.BO,Manaksia Steels Ltd,INE824Q01011,BSE
539097.BO,UR Sugar Industries Ltd,INE904R01027,BSE
539148.BO,Shivalik Rasayan Ltd,INE788J01021,BSE
539222.BO,Growington Ventures India Ltd,INE451S01027,BSE
539226.BO,Rudra Global Infra Products Ltd,INE027T01023,BSE
539312.BO,UTI BSE SENSEX ETF,INF789FB1X58,BSE
539313.BO,UTI NIFTY 50 ETF,INF789F1AZC0,BSE
539314.BO,Universal Autofoundry Ltd,INE203T01012,BSE
539398.BO,Vishal Bearings Ltd,INE060T01024,BSE
539402.BO,Naksh Precious Metals Ltd,INE256S01012,BSE
539469.BO,Panorama Studios International Ltd,INE258R01028,BSE
539480.BO,LIC MF EXCHANGE TRADED FUND- NIFTY 50,INF767K01OS7,BSE
