Rank,Ticker,Company,Current_Price,Prev_Month_End_Price,Return_%,Benchmark_Return_%,RS_Score,Signal
21,KOTAKBANK.NS,Kotak Mahindra Bank,381.5,384.20001220703125,-0.7027621346290621,-0.8140983963398964,0.11133626171083433,🟠 Weak
22,ADANIPORTS.NS,Adani Ports,1790.9000244140625,1804.5999755859375,-0.7591683119372064,-0.8140983963398964,0.054930084402690094,🟠 Weak
23,UPL.NS,UPL,639.1500244140625,644.7999877929688,-0.8762350319275022,-0.8140983963398964,-0.06213663558760574,🔴 AVOID / SELL
24,EICHERMOT.NS,Eicher Motors,7110.0,7177.0,-0.9335376898425526,-0.8140983963398964,-0.11943929350265614,🔴 AVOID / SELL
25,BAJAJ-AUTO.NS,Bajaj Auto,10362.0,10460.0,-0.9369024856596557,-0.8140983963398964,-0.12280408931975928,🔴 AVOID / SELL
26,M&M.NS,Mahindra & Mahindra,3016.10009765625,3045.60009765625,-0.9686104233678547,-0.8140983963398964,-0.1545120270279583,🔴 AVOID / SELL
27,BPCL.NS,Bharat Petroleum,295.1499938964844,298.1000061035156,-0.9896048797821407,-0.8140983963398964,-0.1755064834422443,🔴 AVOID / SELL
28,DIVISLAB.NS,Divi's Laboratories,6596.5,6667.0,-1.0574471276436177,-0.8140983963398964,-0.24334873130372126,🔴 AVOID / SELL
29,SUNPHARMA.NS,Sun Pharmaceutical,1780.0999755859375,1799.199951171875,-1.0615815976149339,-0.8140983963398964,-0.24748320127503742,🔴 AVOID / SELL
30,INDUSINDBK.NS,IndusInd Bank,903.2000122070312,914.3499755859375,-1.219441535147533,-0.8140983963398964,-0.4053431388076365,🔴 AVOID / SELL
31,HCLTECH.NS,HCL Technologies,1168.300048828125,1183.800048828125,-1.3093427403845659,-0.8140983963398964,-0.49524434404466944,🔴 AVOID / SELL
32,RELIANCE.NS,Reliance Industries,1297.699951171875,1315.119384765625,-1.3245515042616773,-0.8140983963398964,-0.5104531079217809,🔴 AVOID / SELL
33,TMCV.NS,Tata Motors,373.6000061035156,379.5,-1.5546755985466074,-0.8140983963398964,-0.740577202206711,🔴 AVOID / SELL
34,POWERGRID.NS,Power Grid Corporation,284.6000061035156,290.54998779296875,-2.0478340868810436,-0.8140983963398964,-1.2337356905411472,🔴 AVOID / SELL
35,BRITANNIA.NS,Britannia Industries,5090.0,5204.5,-2.200019214141608,-0.8140983963398964,-1.3859208178017117,🔴 AVOID / SELL
36,ITC.NS,ITC,280.29998779296875,286.8999938964844,-2.3004552958955293,-0.8140983963398964,-1.4863568995556329,🔴 AVOID / SELL
37,TATACONSUM.NS,Tata Consumer Products,1149.300048828125,1178.4000244140625,-2.4694479788734665,-0.8140983963398964,-1.65534958253357,🔴 AVOID / SELL
38,AXISBANK.NS,Axis Bank,1253.300048828125,1286.5999755859375,-2.5882113624825154,-0.8140983963398964,-1.774112966142619,🔴 AVOID / SELL
39,HAL.NS,Hindustan Aeronautics,4191.0,4303.7998046875,-2.6209352155424064,-0.8140983963398964,-1.80683681920251,🔴 AVOID / SELL
40,NESTLEIND.NS,Nestle India,1382.9000244140625,1421.5,-2.715439717617833,-0.8140983963398964,-1.9013413212779366,🔴 AVOID / SELL
41,DRREDDY.NS,Dr. Reddy's Laboratories,1267.5,1303.5,-2.761795166858458,-0.8140983963398964,-1.9476967705185615,🔴 AVOID / SELL
42,LT.NS,Larsen & Toubro,3942.10009765625,4076.5,-3.2969435138905925,-0.8140983963398964,-2.482845117550696,🔴 AVOID / SELL
43,HINDUNILVR.NS,Hindustan Unilever,2079.39990234375,2153.5,-3.440914681042489,-0.8140983963398964,-2.6268162847025924,🔴 AVOID / SELL
44,ADANIGREEN.NS,Adani Green Energy,1423.300048828125,1475.4000244140625,-3.5312440506857374,-0.8140983963398964,-2.717145654345841,🔴 AVOID / SELL
45,HDFCLIFE.NS,HDFC Life Insurance,573.75,594.7999877929688,-3.5390027278036182,-0.8140983963398964,-2.724904331463722,🔴 AVOID / SELL
46,SBILIFE.NS,SBI Life Insurance,1764.9000244140625,1830.0999755859375,-3.562644229367859,-0.8140983963398964,-2.7485458330279626,🔴 AVOID / SELL
47,BAJFINANCE.NS,Bajaj Finance,874.4000244140625,908.25,-3.726944738336086,-0.8140983963398964,-2.9128463419961896,🔴 AVOID / SELL
48,BAJAJFINSV.NS,Bajaj Finserv,1709.800048828125,1783.5999755859375,-4.137694985870819,-0.8140983963398964,-3.323596589530923,🔴 AVOID / SELL
49,ULTRACEMCO.NS,UltraTech Cement,10997.0,11482.0,-4.224002786970911,-0.8140983963398964,-3.4099043906310147,🔴 AVOID / SELL
50,NTPC.NS,NTPC,366.3999938964844,386.8999938964844,-5.298526834685038,-0.8140983963398964,-4.484428438345142,🔴 AVOID / SELL
