Date,Equity,Cash,Positions
2017-03-27,1000000.0,1000000.0,0
2017-03-28,1000000.0,1000000.0,0
2017-03-29,1000000.0,1000000.0,0
2017-03-30,1000000.0,1000000.0,0
2017-03-31,1000000.0,1000000.0,0
2017-04-03,1000000.0,1000000.0,0
2017-04-04,1000000.0,1000000.0,0
2017-04-05,1000000.0,1000000.0,0
2017-04-06,1000000.0,1000000.0,0
2017-04-07,1000000.0,1000000.0,0
2017-04-10,1000000.0,1000000.0,0
2017-04-11,1000000.0,1000000.0,0
2017-04-12,1000000.0,1000000.0,0
2017-04-13,1000000.0,1000000.0,0
2017-04-17,1000000.0,1000000.0,0
2017-04-18,1000000.0,1000000.0,0
2017-04-19,1000000.0,1000000.0,0
2017-04-20,1000000.0,1000000.0,0
2017-04-21,1000000.0,1000000.0,0
2017-04-24,1000000.0,1000000.0,0
2017-04-25,1000000.0,1000000.0,0
2017-04-26,1000000.0,1000000.0,0
2017-04-27,1000000.0,1000000.0,0
2017-04-28,1000000.0,1000000.0,0
2017-05-01,1000000.0,1000000.0,0
2017-05-02,1000000.0,1000000.0,0
2017-05-03,1000000.0,1000000.0,0
2017-05-04,1000000.0,1000000.0,0
2017-05-05,1000000.0,1000000.0,0
2017-05-08,1000000.0,1000000.0,0
2017-05-09,1000000.0,1000000.0,0
2017-05-10,1000000.0,1000000.0,0
2017-05-11,1000000.0,1000000.0,0
2017-05-12,1000000.0,1000000.0,0
2017-05-15,1000000.0,1000000.0,0
2017-05-16,1000000.0,1000000.0,0
2017-05-17,1000000.0,1000000.0,0
2017-05-18,1000000.0,1000000.0,0
2017-05-19,1000000.0,1000000.0,0
2017-05-22,1000000.0,1000000.0,0
2017-05-23,1000000.0,1000000.0,0
2017-05-24,1000000.0,1000000.0,0
2017-05-25,1000000.0,1000000.0,0
2017-05-26,1000000.0,1000000.0,0
2017-05-29,1000000.0,1000000.0,0
2017-05-30,1000000.0,1000000.0,0
2017-05-31,1000000.0,1000000.0,0
2017-06-01,1000000.0,1000000.0,0
2017-06-02,1000000.0,1000000.0,0
2017-06-05,1000000.0,1000000.0,0
2017-06-06,1000000.0,1000000.0,0
2017-06-07,1001076.25,800314.3,2
2017-06-08,1000891.37,600490.59,4
2017-06-09,1005039.35,500513.83,5
2017-06-12,1009244.67,500513.83,5
2017-06-13,1006247.45,500513.83,5
2017-06-14,1020038.79,400604.97,6
2017-06-15,1027850.75,400604.97,6
2017-06-16,1026078.82,400604.97,6
2017-06-19,1026538.51,400604.97,6
2017-06-20,1022090.69,400604.97,6
2017-06-21,1022390.31,400604.97,6
2017-06-22,1023625.7,400604.97,6
2017-06-23,1009658.25,400604.97,6
2017-06-26,1009658.25,400604.97,6
2017-06-27,1006972.29,400604.97,6
2017-06-28,1003837.21,400604.97,6
2017-06-29,1003948.11,400604.97,6
2017-06-30,1006621.54,400604.97,6
2017-07-03,1018787.32,400604.97,6
2017-07-04,1020558.71,400604.97,6
2017-07-05,1024070.37,400604.97,6
2017-07-06,1020252.36,400604.97,6
2017-07-07,1025747.89,400604.97,6
2017-07-10,1026073.49,400604.97,6
