Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Exit_Reason,Shares,PnL_Pct,Holding_Days,Result,Entry_Type,Recovery_Speed,Recovery_Days,Score
TALBROAUTO.NS,2017-06-09,38.25,2018-06-28,50.06,220 EMA Break,2614,30.88,384,Win,ATH,Fast,2,83.91
PARAGMILK.NS,2018-06-15,347.65,2018-06-28,293.84,15% Hard Stop,67,-15.48,13,Loss,ATH,Fast,1,99.65
UBL.NS,2018-06-12,1245.03,2018-07-20,1041.68,15% Hard Stop,80,-16.33,38,Loss,ATH,Fast,1,87.53
RGL.NS,2017-05-29,32.56,2018-07-27,51.91,220 EMA Break,3070,59.41,424,Win,ATH,Fast,4,85.19
COLPAL.NS,2018-05-23,1032.01,2018-07-27,919.37,220 EMA Break,78,-10.91,65,Loss,ATH,Fast,2,99.66
THOMASCOOK.NS,2018-03-16,98.75,2018-08-02,90.81,220 EMA Break,1012,-8.04,139,Loss,ATH,Fast,2,99.88
PHOENIXLTD.NS,2017-06-14,224.51,2018-08-28,298.71,220 EMA Break,445,33.05,440,Win,ATH,Fast,1,70.7
SHOPERSTOP.NS,2018-09-04,625.73,2018-09-26,530.17,15% Hard Stop,159,-15.27,22,Loss,ATH,Fast,1,84.02
FILATEX.NS,2018-08-17,25.38,2018-09-28,21.4,15% Hard Stop,3644,-15.68,42,Loss,ATH,Fast,2,98.61
LUXIND.NS,2017-06-07,859.37,2018-10-01,1569.19,220 EMA Break,116,82.6,481,Win,ATH,Fast,13,79.25
ASIANPAINT.NS,2018-07-24,1359.21,2018-10-04,1156.7,220 EMA Break,73,-14.9,72,Loss,ATH,Fast,3,85.4
CUB.NS,2018-03-14,161.01,2018-10-05,159.13,220 EMA Break,621,-1.17,205,Loss,ATH,Fast,1,92.32
BERGEPAINT.NS,2018-07-13,243.18,2018-10-05,217.86,220 EMA Break,411,-10.41,84,Loss,ATH,Fast,7,89.34
HAVELLS.NS,2018-07-27,586.74,2018-10-10,537.48,220 EMA Break,170,-8.4,75,Loss,ATH,Fast,1,95.21
DABUR.NS,2018-08-01,395.37,2018-11-02,348.63,220 EMA Break,252,-11.82,93,Loss,ATH,Fast,3,93.03
TORNTPHARM.NS,2018-08-01,694.39,2019-05-09,775.69,220 EMA Break,95,11.71,281,Win,52W_HIGH_FALLBACK,Normal,59,60.14
NESTLEIND.NS,2018-03-28,367.33,2019-05-15,475.83,220 EMA Break,272,29.54,413,Win,ATH,Fast,9,87.81
LTTS.NS,2019-05-29,1627.8,2019-07-22,1376.59,15% Hard Stop,61,-15.43,54,Loss,ATH,Fast,3,86.98
LT.NS,2019-05-28,1434.0,2019-07-26,1247.68,220 EMA Break,69,-12.99,59,Loss,ATH,Fast,2,98.31
PAISALO.NS,2019-05-20,20.97,2019-08-23,17.45,15% Hard Stop,4768,-16.79,95,Loss,ATH,Fast,1,88.81
VGUARD.NS,2019-06-27,235.96,2019-09-20,212.84,220 EMA Break,423,-9.8,85,Loss,52W_HIGH_FALLBACK,Fast,2,84.87
JBCHEPHARM.NS,2019-04-02,171.67,2019-10-25,153.59,220 EMA Break,582,-10.53,206,Loss,52W_HIGH_FALLBACK,Fast,1,97.47
SUVEN.NS,2019-11-15,15.05,2019-12-02,12.31,15% Hard Stop,6644,-18.23,17,Loss,ATH,Fast,2,90.13
MIDHANI.NS,2019-11-14,164.09,2019-12-10,138.2,15% Hard Stop,609,-15.78,26,Loss,ATH,Fast,5,92.1
RELIANCE.NS,2019-11-21,691.16,2020-03-02,606.21,220 EMA Break,100,-12.29,102,Loss,ATH,Fast,1,77.79
CUB.NS,2019-12-03,220.59,2020-03-03,206.74,220 EMA Break,371,-6.28,91,Loss,ATH,Fast,1,95.87
CHOLAFIN.NS,2019-11-18,324.85,2020-03-05,292.12,220 EMA Break,307,-10.08,108,Loss,52W_HIGH_FALLBACK,Fast,2,87.36
VSTIND.NS,2019-11-14,323.23,2020-03-12,273.89,15% Hard Stop,309,-15.26,119,Loss,ATH,Fast,2,73.39
GODFRYPHLP.NS,2019-11-14,381.09,2020-03-12,311.64,15% Hard Stop,262,-18.23,119,Loss,52W_HIGH_FALLBACK,Fast,2,62.5
AUBANK.NS,2019-11-14,403.68,2020-03-18,340.27,15% Hard Stop,247,-15.71,125,Loss,ATH,Fast,3,69.29
TRENT.NS,2019-06-04,408.43,2020-03-19,447.85,220 EMA Break,244,9.65,289,Win,ATH,Fast,9,100.0
TIINDIA.NS,2019-11-21,446.66,2020-03-19,398.01,220 EMA Break,223,-10.89,119,Loss,ATH,Fast,2,82.85
BHARTIARTL.NS,2019-11-19,408.08,2020-03-24,392.79,220 EMA Break,245,-3.75,126,Loss,52W_HIGH_FALLBACK,Fast,1,94.15
CUPID.NS,2020-08-25,2.71,2020-08-28,2.24,15% Hard Stop,36926,-17.26,3,Loss,52W_HIGH_FALLBACK,Fast,1,71.95
ADSL.NS,2020-08-26,25.07,2020-09-03,21.21,15% Hard Stop,2899,-15.39,8,Loss,52W_HIGH_FALLBACK,Normal,40,73.55
TATACHEM.NS,2020-08-26,314.38,2020-09-10,269.44,220 EMA Break,318,-14.29,15,Loss,ATH,Fast,1,79.81
TIINDIA.NS,2020-08-25,643.89,2020-10-20,546.81,15% Hard Stop,155,-15.08,56,Loss,ATH,Fast,2,85.16
STAR.NS,2020-08-24,609.08,2021-07-28,746.29,220 EMA Break,164,22.53,338,Win,52W_HIGH_FALLBACK,Fast,1,68.43
AFFLE.NS,2020-08-24,473.8,2021-07-29,838.0,220 EMA Break,211,76.87,339,Win,ATH,Fast,1,62.84
SCI.NS,2020-12-11,83.82,2021-08-24,89.66,220 EMA Break,2,6.96,256,Win,52W_HIGH_FALLBACK,Fast,1,90.53
HUBTOWN.NS,2021-07-29,36.15,2021-08-26,29.25,15% Hard Stop,2766,-19.09,28,Loss,52W_HIGH_FALLBACK,Fast,1,75.87
TORNTPHARM.NS,2021-09-01,1466.06,2021-10-28,1331.35,220 EMA Break,55,-9.19,57,Loss,ATH,Normal,59,90.21
DABUR.NS,2020-10-07,498.07,2021-12-07,545.52,220 EMA Break,62,9.53,426,Win,ATH,Fast,3,89.93
ASTERDM.NS,2021-08-31,162.23,2021-12-20,132.77,15% Hard Stop,616,-18.16,111,Loss,ATH,Normal,55,81.15
JUBLFOOD.NS,2020-08-25,421.74,2021-12-21,677.28,220 EMA Break,237,60.59,483,Win,ATH,Fast,5,67.39
BLUESTARCO.NS,2021-11-02,487.34,2022-01-28,429.07,220 EMA Break,150,-11.96,87,Loss,ATH,Fast,18,100.0
VGL.NS,2021-12-28,15.3,2022-02-14,12.73,15% Hard Stop,6535,-16.83,48,Loss,52W_HIGH_FALLBACK,Fast,2,71.49
SEPC.NS,2021-12-30,10.06,2022-02-15,8.53,15% Hard Stop,9940,-15.2,47,Loss,52W_HIGH_FALLBACK,Fast,2,69.78
ORICONENT.NS,2021-12-09,37.49,2022-02-22,31.48,15% Hard Stop,907,-16.02,75,Loss,52W_HIGH_FALLBACK,Fast,2,79.74
IEX.NS,2020-09-15,65.4,2022-02-25,187.55,220 EMA Break,1529,186.78,528,Win,ATH,Fast,1,85.56
TATACHEM.NS,2020-11-20,335.64,2022-02-25,757.85,220 EMA Break,252,125.79,462,Win,ATH,Fast,1,95.07
ASIANPAINT.NS,2020-08-25,1877.26,2022-03-03,2917.06,220 EMA Break,53,55.39,555,Win,ATH,Fast,3,70.0
JBCHEPHARM.NS,2019-12-11,196.87,2022-03-08,743.06,220 EMA Break,427,277.44,818,Win,ATH,Fast,1,85.52
APOLLOHOSP.NS,2020-09-21,1800.51,2022-05-04,4249.56,220 EMA Break,55,136.02,590,Win,ATH,Fast,19,99.71
