Date,Portfolio_Value,Benchmark_Value
2025-05-21,491173.7337045324,111.74859815977906
2025-05-22,491173.7337045324,111.0882993462748
2025-05-23,491173.7337045324,112.07875371010303
2025-05-26,491173.7337045324,112.69075176185352
2025-05-27,491173.7337045324,112.0304406612056
2025-05-28,491173.7337045324,111.80497157492184
2025-05-29,491173.7337045324,112.14720538747017
2025-05-30,491173.7337045324,111.91770611806373
2025-06-02,491173.7337045324,111.76873678824877
2025-06-03,491173.7337045324,111.03192593113202
2025-06-04,491173.7337045324,111.30973824943591
2025-06-05,491173.7337045324,111.94991072161412
2025-06-06,491105.018578945,112.93634718946333
2025-06-09,491028.21888557146,113.27858100201165
2025-06-10,489779.23087510635,113.29468944735868
2025-06-11,492596.53128767834,113.48794164294837
2025-06-12,491638.5673642418,112.31228316263213
2025-06-13,489888.36452226335,111.56742422641372
2025-06-16,492887.5584585365,112.61425200538471
2025-06-17,492624.82542463235,112.1673317287962
2025-06-18,491545.60223589133,112.02641047808292
2025-06-19,488695.96478570625,111.89354959361502
2025-06-20,488829.35213622195,113.33897231313344
2025-06-23,489273.2846364353,113.08128633615561
2025-06-24,491084.5859707518,113.31078560556205
2025-06-25,492459.4541764291,114.10798777380056
2025-06-26,492461.9789242309,115.30781506570919
2025-06-27,494116.87648523797,115.93992717164205
2025-06-30,494825.7522886202,115.3561281146066
2025-07-01,495355.5202442485,115.48898899907454
2025-07-02,492403.9594735142,115.06220735095572
2025-07-03,491601.7364059616,114.90518994203909
2025-07-04,491932.27166204737,115.19506823542365
2025-07-07,491932.27166204737,115.17897207722028
2025-07-08,491932.27166204737,115.51717570664593
2025-07-09,491932.27166204737,115.35209793148394
2025-07-10,491932.27166204737,114.81258174022324
2025-07-11,490039.7989812958,113.98719286441334
2025-07-14,492279.9423504714,113.82614527237402
2025-07-15,493150.9074672389,114.22072231694244
2025-07-16,494960.9444033528,114.20059597561641
2025-07-17,495731.55700380926,113.87445832127145
2025-07-18,502391.0503988865,113.31078560556205
2025-07-21,504487.8267800749,113.64497133900868
2025-07-22,504706.46499167045,113.56847158253987
2025-07-23,509545.17466908984,114.15630082269799
2025-07-24,504885.67646120454,113.58054984476422
2025-07-25,502946.6070482621,112.74711288985264
2025-07-28,507516.49952138035,112.12706675900046
2025-07-29,509011.1225210023,112.77126941430136
2025-07-30,511380.2983670065,112.78737785964839
2025-07-31,508548.7593360085,112.43709596799837
2025-08-01,503759.3352262486,111.66808050733125
2025-08-04,505742.0774835058,112.27201819283641
2025-08-05,504726.76177300146,111.98615779543087
2025-08-06,505615.88483686396,111.65197206198418
2025-08-07,501818.7849355817,111.64392398288254
2025-08-08,500836.90120932343,110.77828242442055
2025-08-11,498855.01593507215,111.64392398288254
2025-08-12,498855.01593507215,111.34195514012997
2025-08-13,498855.01593507215,111.93783245938975
2025-08-14,498855.01593507215,112.02239258210392
2025-08-18,498855.01593507215,113.16584645886978
2025-08-19,502112.83653481066,113.52417642962145
2025-08-20,500189.9193281614,113.7496455159052
2025-08-21,499377.0088205198,113.96706652308728
2025-08-22,497683.11071216734,113.03700347038085
2025-08-25,499865.99023448105,113.41144188647958
2025-08-26,500278.6336280603,112.35253584528422
2025-08-28,499226.39297443314,111.4989725490466
2025-08-29,503972.6760151814,111.14869065739657
2025-09-01,504680.1761467943,112.00225395363421
2025-09-02,501955.73842302256,111.80094139179917
2025-09-03,501252.01165492955,112.30825297950946
2025-09-04,499817.9409906679,112.4612524924471
2025-09-05,503370.2136862796,112.57398703558898
2025-09-08,506967.0415058885,112.73100444450561
2025-09-09,504449.0671739677,112.95245563481035
2025-09-10,502925.84945416695,113.47586338072402
2025-09-11,502312.47819734365,113.7536756990279
2025-09-12,508174.2255519255,114.1482527435963
2025-09-15,508469.30548347085,113.99122304753601
2025-09-16,509008.9251039042,114.70387738020405
2025-09-17,509200.9783429152,115.1427372905472
2025-09-18,509600.33106237854,115.43262787107543
2025-09-19,510904.8606373276,115.11052039985314
2025-09-22,513300.91422368,114.54281750102106
2025-09-23,514636.43115955626,114.48645637302195
2025-09-24,512660.08907933056,113.89459694974116
2025-09-25,513026.25625915895,113.23428584909323
2025-09-26,508841.92896183755,112.22772303991798
2025-09-29,509474.8435499272,112.14720538747017
2025-09-30,509474.8435499272,111.73651989755471
2025-10-01,509474.8435499272,112.940377372586
2025-10-03,509474.8435499272,113.20208124554283
2025-10-06,509474.8435499272,113.97109670620998
2025-10-07,509474.8435499272,114.10798777380056
2025-10-08,509474.8435499272,113.69328438790612
2025-10-09,509474.8435499272,114.36566146363472
2025-10-10,509815.75418212806,114.9575208869155
2025-10-13,509131.40905236366,114.60322109928651
2025-10-14,507280.398488966,114.22072231694244
2025-10-15,507707.1667822504,115.17897207722028
2025-10-16,507707.1667822504,116.23787811841562
2025-10-17,507707.1667822504,116.82973754169643
2025-10-20,507707.1667822504,117.51016269652672
2025-10-21,507707.1667822504,117.51419287964939
2025-10-23,507707.1667822504,117.7235658077298
2025-10-24,507707.1667822504,117.7235658077298
2025-10-27,507707.1667822504,118.11008248605286
2025-10-28,507707.1667822504,118.00942620513536
2025-10-29,507707.1667822504,118.57309892084476
2025-10-30,508642.0015752755,117.80005327705494
2025-10-31,509169.5612950358,117.19611559154978
2025-11-03,508931.10327131406,117.30483223871266
2025-11-04,508249.5002349441,116.5962080891673
2025-11-06,507369.5265008237,116.05266171478394
2025-11-07,508663.28157481516,116.13319165437544
2025-11-10,505820.72825346375,116.55594311937156
2025-11-11,503910.09086462564,117.09144141465326
2025-11-12,504180.3038903072,117.85642669219772
2025-11-13,504180.3038903072,117.7235658077298
2025-11-14,504180.3038903072,117.90070955797248
2025-11-17,504180.3038903072,118.35970809678533
2025-11-18,504180.3038903072,117.95708297311525
2025-11-19,504180.3038903072,118.52075568882465
2025-11-20,504180.3038903072,119.03209745965762
2025-11-21,504180.3038903072,118.5006293474986
2025-11-24,504180.3038903072,118.08994385758315
2025-11-25,504180.3038903072,117.84031824685069
2025-11-26,504180.3038903072,119.18106678947258
2025-11-27,504180.3038903072,119.34614456463454
2025-11-28,504180.3038903072,119.37431898506227
2025-12-01,504180.3038903072,119.21730157614564
2025-12-02,504180.3038903072,118.6375204150892
2025-12-03,504180.3038903072,118.2912564194182
2025-12-04,504180.3038903072,118.52075568882465
2025-12-05,504180.3038903072,119.18106678947258
2025-12-08,504180.3038903072,118.1503474558486
2025-12-09,504180.3038903072,117.70745736238277
2025-12-10,504180.3038903072,117.38938007428312
2025-12-11,504180.3038903072,117.94097452776822
2025-12-12,504180.3038903072,118.64959867731355
2025-12-15,504180.3038903072,118.58920736619179
2025-12-16,504180.3038903072,117.832270167749
2025-12-17,504180.3038903072,117.44977138540493
2025-12-18,504180.3038903072,117.50211461742504
2025-12-19,504180.3038903072,118.15013857440628
2025-12-22,504180.3038903072,119.05222380098365
2025-12-23,504180.3038903072,119.04819361786099
2025-12-24,504180.3038903072,118.97572404451483
2025-12-26,504180.3038903072,118.55699047549773
2025-12-29,504180.3038903072,118.02955254646137
2025-12-30,504180.3038903072,118.0980042238285
2025-12-31,504180.3038903072,118.899224288046
2026-01-01,504180.3038903072,118.90727236714771
2026-01-02,504180.3038903072,119.80110063318108
2026-01-05,504180.3038903072,119.34211438151188
2026-01-06,504180.3038903072,119.18508468545157
2026-01-07,504180.3038903072,119.06430206320802
2026-01-08,504180.3038903072,117.94097452776822
2026-01-09,504180.3038903072,116.99883321283741
2026-01-12,504180.3038903072,117.51419287964939
2026-01-13,504180.3038903072,117.2162542200195
2026-01-14,504034.2999220985,117.0270199204088
2026-01-15,504034.2999220985,117.0270199204088
2026-01-16,503091.9046336042,117.18001943334642
2026-01-19,502786.62191526074,116.61231653451433
2026-01-20,502786.62191526074,115.26351991279078
2026-01-21,502786.62191526074,114.72803390465273
2026-01-22,502786.62191526074,115.39638079725869
2026-01-23,502786.62191526074,114.30930033563563
2026-01-27,502786.62191526074,114.83673826467195
2026-01-28,502786.62191526074,115.39638079725869
2026-01-29,502786.62191526074,115.70237982313394
2026-01-30,502786.62191526074,115.44470613329977
2026-02-02,502786.62191526074,114.32137859785998
2026-02-03,502786.62191526074,117.26053708579425
2026-02-04,502786.62191526074,117.42561486095622
2026-02-05,502786.62191526074,116.90220711504256
2026-02-06,502786.62191526074,117.02298973728614
2026-02-09,502786.62191526074,117.79200519795323
2026-02-10,505244.95694401505,118.19463032162334
2026-02-11,509256.0644947421,118.31139504788793
2026-02-12,509950.5089391865,117.6752404716887
2026-02-13,509322.7326872876,116.3063175086391
2026-02-16,507397.73472179286,117.06728489020455
2026-02-17,508369.95694401505,117.37327162893611
2026-02-18,507675.5124995706,117.64706605126098
2026-02-19,505719.9545704257,116.10903512992672
2026-02-20,506144.95524859405,116.45126894247504
2026-02-23,506144.95524859405,116.9424720848383
2026-02-24,506144.95524859405,115.89564430586732
2026-02-25,506144.95524859405,116.20969141084423
2026-02-26,506144.95524859405,116.18955278237453
2026-02-27,506144.95524859405,114.86492497224334
2026-03-02,506144.95524859405,113.51209816739708
2026-03-04,506144.95524859405,111.64392398288254
2026-03-05,506144.95524859405,112.87595587834156
2026-03-06,506144.95524859405,111.62781553753551
2026-03-09,506144.95524859405,109.68314159655212
2026-03-10,506144.95524859405,110.70178266795175
2026-03-11,506144.95524859405,108.934252477211
2026-03-12,506144.95524859405,107.87937661913836
2026-03-13,506144.95524859405,105.76559471987032
2026-03-16,506144.95524859405,106.76812734592292
2026-03-17,506144.95524859405,107.56532951416142
2026-03-18,506144.95524859405,108.47928412152083
2026-03-19,506144.95524859405,105.53609545046389
2026-03-20,506144.95524859405,105.51596910913786
2026-03-23,506144.95524859405,102.72979784699754
2026-03-24,506144.95524859405,104.61408047685914
2026-03-25,506144.95524859405,106.31718917335536
2026-03-27,506144.95524859405,104.2356241647814
2026-03-30,506144.95524859405,102.04131232592188
2026-04-01,506144.95524859405,103.65584300372497
2026-04-02,506144.95524859405,103.72025221082578
2026-04-06,506144.95524859405,104.78318843514379
2026-04-07,506144.95524859405,105.27439157750706
2026-04-08,506144.95524859405,109.38519064977856
2026-04-09,504687.5296835793,108.50344064596955
2026-04-10,506792.28755936766,109.49390729694144
2026-04-13,508231.21608997666,108.51551890819391
2026-04-15,508904.4451068512,110.22667568379183
2026-04-16,510532.0229334712,110.29915754428163
2026-04-17,515329.68558816647,111.07219090092777
2026-04-20,513524.5495066349,110.80645684484827
2026-04-21,516232.25362893223,111.78081505047312
2026-04-22,516409.80623954814,110.9795949862556
2026-04-23,515159.52700495004,110.22265778781282
2026-04-24,514519.5936885562,109.14764330127045
2026-04-27,515573.82395544817,109.72339427920421
2026-04-28,515496.1415133873,109.30467299733073
2026-04-29,513591.1352633007,109.96900199395768
2026-04-30,511645.43364103796,109.51806382139016
2026-05-01,511645.43364103796,109.51806382139016
2026-05-04,512056.0301912589,109.964971810835
2026-05-05,512056.0301912589,109.63481626051103
